Season,H1_0,H1_5,H1_25,H1_65,H3_0,H3_5,H3_25,H3_65,B_0,B_5,B_25,B_65
2010-11,4.074050349,13.01646275,13.09653449,1.223496253,8.036000256,12.07481904,14.70757799,11.80257511,3.625648581,12.35667158,4.61853821,1.367625392
2011-12,3.03266407,7.138148037,7.935271202,0.773149536,11.09979023,21.86394966,19.97003296,14.69583458,1.965837579,6.76056338,3.655978424,1.108780342
2012-13,0.673826612,1.285692157,2.261578975,0.24526256,8.697784892,19.39381422,22.5822275,21.97294367,3.562761398,10.60308773,6.100583467,2.620436826
2013-14,8.861235513,18.0096407,40.51827288,8.437318382,1.107654439,3.281939079,4.088749103,3.811835493,1.080304947,3.630645106,4.875047007,2.297357355
2014-15,0.062535958,0.092553218,0.222628011,0.03001726,7.786977512,22.78810316,22.89816645,32.14848538,1.340770943,4.617655152,5.012882407,2.999224554
2015-16,7.541708543,13.74472362,27.81105528,7.662311558,1.266331658,6.126633166,4.341708543,3.429145729,2.516582915,10.67738693,9.91758794,4.964824121
2016-17,0.405421059,0.567589482,1.094636859,0.463338353,6.165295957,23.00185335,23.54917178,28.17965945,1.004865053,4.477006834,5.670103093,5.421058728
2017-18,1.769209859,3.268847408,5.192098586,1.859822399,4.927056905,13.56243204,20.35157666,26.0216564,1.309351214,6.098223994,7.801739761,7.837984777
2018-19,9.463047016,18.62207759,27.16879335,10.21666524,3.609660015,14.45576775,8.092832063,7.446261882,0.0984842,0.34683566,0.295452599,0.184122634
